tid,gender,tDept,Enroll,Evals Made,Eval/Enroll,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,rEasy,rHelpful,rInterest,rOverall,rWouldTakeAgain,rmp Grade,sentimentValue,teacherRatingTags,rmp Evals/Enroll,rmp Evals
142074,1.0,VIS,2012,888,0.441351888667992,0.7928074324324323,0.7678153153153152,3.8838626126126123,3.4459069767441854,3.3768306010928963,3.4022988505747125,3.1839080459770117,4.0588235294117645,3.1436781609195403,,3.3333333333333335,0.18795131217760527,,0.04324055666003976,87.0
142093,,VIS,337,159,0.47181008902077154,0.9482704402515721,0.9411949685534591,4.673018867924527,3.7157232704402516,3.2860810810810808,2.272727272727273,4.818181818181818,4.454545454545454,4.636363636363637,,4.0,0.2690816798941799,"Gives good feedback,Respected,Caring,",0.032640949554896145,11.0
142304,1.0,CAT,469,234,0.4989339019189765,0.9348461538461539,0.9088589743589743,5.837991452991453,3.5993162393162397,3.2679591836734687,2.5454545454545454,4.0,4.166666666666667,3.6818181818181817,1.0,3.7,0.1713023088023088,"Gives good feedback,Caring,",0.023454157782515993,11.0
146674,1.0,PHYS,2851,1119,0.3924938618028762,0.6994092940125112,0.5093985701519214,6.103932082216262,3.227444146559429,3.1367241379310347,3.347826086956522,2.0434782608695654,2.9642857142857144,1.9782608695652173,0.21428571428571427,3.8818181818181823,-0.03356304112554113,"""Skip class? You won t pass."",EXTRA CREDIT,Lecture heavy,Participation matters,Tough grader,Get ready to read,Test heavy,Lots of homework,Hilarious,Clear grading criteria,",0.016134689582602595,46.0
147413,-1.0,INTL,972,470,0.4835390946502058,0.9170468085106385,0.9346021276595744,5.04304255319149,3.5047659574468084,3.188362445414847,2.6222222222222222,3.6444444444444444,3.8095238095238093,3.7777777777777777,0.7777777777777778,3.88,0.06730238429266207,"Get ready to read,Accessible outside class,Caring,Clear grading criteria,Graded by few things,Lecture heavy,Inspirational,Amazing lectures,So many papers,",0.046296296296296294,45.0
148569,,PSYC,3050,1296,0.4249180327868852,0.9065069444444444,0.841039351851852,4.354405864197531,3.450439814814815,2.9124999999999996,3.1777777777777776,2.7777777777777777,4.2,3.1222222222222222,0.6666666666666666,3.94,0.19306361899417454,"Participation matters,Respected,Graded by few things,""Skip class? You won t pass."",",0.014754098360655738,45.0
148742,1.0,COGS,5090,2476,0.4864440078585462,0.9080432148626818,0.90593901453958,4.924523424878838,3.368794788273616,2.966310947562098,3.4745762711864407,3.1016949152542375,3.9,3.1440677966101696,0.2,3.4909090909090916,0.15844820222150732,"Tough grader,""Skip class? You won t pass."",Test heavy,Lecture heavy,Get ready to read,Graded by few things,Gives good feedback,Clear grading criteria,Respected,",0.011591355599214145,59.0
149129,,CHEM,513,293,0.571150097465887,0.8650170648464163,0.7253959044368601,5.788737201365187,3.09382252559727,2.6163139931740615,3.8,3.8,2.8,3.8666666666666667,,,0.12590590428090428,,0.029239766081871343,15.0
151976,-1.0,MATH,522,276,0.5287356321839081,0.7541521739130436,0.6985398550724637,5.683731884057972,3.4179347826086963,3.3374895397489537,2.55,3.55,3.1,3.4,,,0.18635275106837607,,0.038314176245210725,20.0
154638,1.0,ECE,1262,492,0.3898573692551506,0.7771565040650407,0.6924065040650408,8.253556910569104,3.21288617886179,2.8117864923747273,4.083333333333333,2.8333333333333335,2.9,2.4583333333333335,0.0,3.2,-0.10849742798353908,"Caring,Lecture heavy,Tough grader,",0.009508716323296355,12.0
155208,1.0,MATH,2364,971,0.4107445008460237,0.7885190525231719,0.7619989701338826,6.105849639546859,3.274170957775489,2.9257782515991466,2.9344262295081966,3.1311475409836067,2.980392156862745,2.9754098360655736,0.7142857142857143,3.857142857142857,0.2028851888283241,"Caring,Inspirational,Amazing lectures,Respected,Gives good feedback,",0.025803722504230117,61.0
